,O=C(N1CCNCC1)c2ccc(C=Cc3[nH]nc4ccccc34)cc2,O=C(Nc1c[nH]c2ncc(cc12)c3ccc(cc3)C#N)c4cccnc4
PTK2,9.60557098207e-05,3.05798559352e-05
PTK2B,0.0139820402872,0.000150697221519
PTK6,7.99670853943e-05,0.000110054784662
RAF1,1.02886223559e-05,1.91202396454e-05
RET,0.000443809775618,0.00102022121365
RIOK1,0.433237494272,2.84385186407e-07
RIOK2,1.98873690969e-06,1.18324863159e-06
RIOK3,0.420416603998,8.0058470436e-07
RIPK1,0.352295001801,6.59143560264e-05
RIPK2,6.515642633e-06,2.40636962879e-05
RIPK4,0.497718290433,4.53089784331e-07
RNASEL,5.45913004836e-06,8.19694455602e-07
ROCK1,0.0014846776341,0.0109077214366
ROCK2,0.00133647082228,0.0028727979384
ROS1,0.000354290798693,5.84520582349e-05
RPS6KA1,1.78224198904e-06,3.37142995403e-05
RPS6KA2,3.65382933558e-06,1.07978419206e-06
RPS6KA3,0.00645816145601,0.00738770450191
RPS6KA4,3.84592638456e-07,1.10924932499e-05
RPS6KA5,0.000106136478307,9.39988251314e-05
RPS6KA6,0.308012457825,8.19064661221e-07
RPS6KB1,0.00216716776453,0.00125766223795
SBK1,0.496718294637,4.71747781776e-07
SGK1,0.000476252299242,0.00328362449764
SGK2,4.11037721218e-05,5.2307868898e-05
SGK3,0.499012551389,2.57676803878e-07
SIK1,0.191084076052,0.0016480100263
SIK2,0.0271746522149,0.00024674828477
SIK3,2.53476898831e-06,0.000140198805159
SLK,0.0141926125021,0.000419729756097
SMG1,4.00269817652e-06,7.34882390738e-07
SPHK1,9.63929556971e-05,4.80122782243e-09
SPHK2,2.3286738718e-05,6.31043750214e-08
SRC,0.00497195290235,0.000514271708814
SRMS,5.44763824656e-07,4.43022266969e-05
SRPK1,0.122847743543,0.000975740348559
SRPK2,0.421601654286,3.23533042758e-07
SRPK3,0.422435451136,3.00748736228e-07
STK10,0.202554364331,1.96083900962e-06
STK11,0.432235423104,0.34746375887
STK16,0.296775387553,0.227294993409
STK17A,0.00645095686738,0.000250744188243
STK17B,0.417548767411,0.000131901197942
STK24,3.56802455566e-06,9.1647928021e-07
STK3,4.3092781024e-05,0.150808971685
STK33,0.383163087047,9.85415587934e-05
STK35,0.504770959956,8.81758565706e-07
STK4,0.477063255559,3.10750128519e-06
SYK,8.41797314488e-05,8.60362040859e-05
TAB1,4.112224494e-06,2.55012842021e-06
